,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
0,Manchester City,133639720,144309280,149808080,162793980,178767640,182629780,175808200,162460040,175999360,-111191400,-61253800,-149600400,-189189400,-234855400,-33972200,-103887200,-123345400,-53843400,244831120,205563080,299408480,351983380,413623040,216601980,279695400,285805440,229842760,1,2,4,3,1,1,2,1,1
1,Liverpool FC,77463460,96795400,112049260,108189480,112894140,150402800,135546600,154485600,164907360,-27081000,-55401000,-37004800,5310000,6867600,-152609400,33134400,-41901800,-61065000,104544460,152196400,149054060,102879480,106026540,303012200,102412200,196387400,225972360,2,6,8,4,4,2,1,3,2
2,Chelsea FC,121447960,123479920,117928020,116364520,143561160,185858260,141187000,174418160,204895200,-56203400,7599200,-3197800,-25912800,-63720000,-164869600,103816400,-200080800,2501600,177651360,115880720,121125820,142277320,207281160,350727860,37370600,374498960,202393600,3,1,10,1,5,3,4,4,3
3,Arsenal FC,84952920,111718860,115864200,121970700,186742080,159724800,139877200,173991000,103025800,-39400200,-96830800,-25488000,-102636400,3551800,-79756200,-110282800,-70457800,-144455600,124353120,208549660,141352200,224607100,183190280,239481000,250160000,244448800,247481400,4,3,2,5,6,5,8,8,5
4,Everton FC,62351200,59536900,65281140,80047660,100819200,101134260,103757400,108646140,102081800,15186600,-40627400,-40249800,-26656200,-81479000,-80712000,-41842800,-74812000,-1593000,47164600,100164300,105530940,106703860,182298200,181846260,145600200,183458140,103674800,5,11,11,7,8,8,12,10,16
5,Tottenham Hotspur,60476180,77632200,64012640,84032520,94751640,107623080,126944400,158681680,89132480,14384200,-4578400,17605600,-33240600,-18797400,5841000,-97173000,-103226400,-65608000,46091980,82210600,46407040,117273120,113549040,101782080,224117400,261908080,154740480,6,5,3,2,3,4,6,7,4
6,Manchester United,114804560,166521600,146996140,185859440,196081780,178563500,195219200,228223800,252767800,-80004000,-155122800,-57277200,-146390800,-162379800,-50279800,-150827600,-69454800,-116076600,194808560,321644400,204273340,332250240,358461580,228843300,346046800,297678600,368844400,7,4,5,6,2,6,3,2,6
7,Southampton FC,32929080,50217260,50719940,68760960,80326140,85567700,63177200,67477120,61525200,-37594800,29511800,-7858800,17157200,33028200,-40733600,-34196400,-11682000,18337200,70523880,20705460,58578740,51603760,47297940,126301300,97373600,79159120,43188000,8,7,6,8,17,16,11,15,15
8,Stoke City,40033860,43321340,49746440,61079160,57881360,-,-,-,-,-7434000,2124000,-32343800,-36898600,-23954000,-,-,-,-,47467860,41197340,82090240,97977760,81835360,-,-,-,-,9,9,9,13,19,-,-,-,-
9,Newcastle United,43008640,38624940,58120900,-,49818420,58817100,79425800,67904280,77703000,23434800,-22738600,-109681000,-,-26443800,-17452200,-39565400,-41125360,-139653000,19573840,61363540,167801900,-,76262220,76269300,118991200,109029640,217356000,10,15,18,-,10,13,13,12,11
10,Crystal Palace,22864860,37410720,63943020,85218420,80288380,88147180,87662200,104707300,86081000,-35046000,-30172600,-24850800,-54268200,-47530400,-12590600,50822600,-2548800,-89668200,57910860,67583320,88793820,139486620,127818780,100737780,36839600,107256100,175749200,11,10,15,14,11,12,14,14,12
11,Swansea City,25321620,35422420,47922160,46879040,56372140,-,-,-,-,-28367200,21617600,-5841000,-10195200,8496000,-,-,-,-,53688820,13804820,53763160,57074240,47876140,-,-,-,-,12,8,12,15,18,-,-,-,-
12,West Ham United,55775060,53640440,62932940,66731360,82048940,97698100,87917080,78441680,84908080,-24925140,-32662400,-36308600,-45135000,12980000,-95426600,-60345200,-9239400,-74871000,80700200,86302840,99241540,111866360,69068940,193124700,148262280,87681080,159779080,13,12,7,11,13,10,16,6,7
13,Sunderland AFC,49046700,45578680,54691820,56359160,-,-,-,-,-,-12248400,-16307600,-59000000,-19257600,-,-,-,-,-,61295100,61886280,113691820,75616760,-,-,-,-,-,14,16,17,20,-,-,-,-,-
14,Aston Villa,38994280,39080420,43932580,-,-,-,60357000,73293340,70764600,-12472600,-12897400,-1864400,-,-,-,-164716200,-104701400,-2997200,51466880,51977820,45796980,-,-,-,225073200,177994740,73761800,15,17,20,-,-,-,17,11,14
15,Hull City,24808320,43418100,-,49731100,-,-,-,-,-,-32093640,-31364400,-,-11788200,-,-,-,-,-,56901960,74782500,-,61519300,-,-,-,-,-,16,18,-,18,-,-,-,-,-
16,West Bromwich Albion,40760740,41878200,48994780,48332800,69683720,-,-,43763840,-,-4566600,-23977600,-31836400,-11599400,-54634000,-,-,-36686200,-,45327340,65855800,80831180,59932200,124317720,-,-,80450040,-,17,13,14,10,20,-,-,19,-
17,Norwich City,32838220,-,38534080,-,-,-,30904200,-,34928000,-26786000,-,-27682800,-,-,-,-7021000,-,-29476400,59624220,-,66216880,-,-,-,37925200,-,64404400,18,-,19,-,-,-,20,-,20
18,Fulham FC,39325860,-,-,-,-,60084420,-,61559420,-,-26915800,-,-,-,-,-114165000,-,-39565400,-,66241660,-,-,-,-,174249420,-,101124820,-,19,-,-,-,-,19,-,18,-
19,Cardiff City,32888960,-,-,-,-,38928200,-,-,-,-44674800,-,-,-,-,-54386200,-,-,-,77563760,-,-,-,-,93314400,-,-,-,20,-,-,-,-,18,-,-,-
20,Bayern München,115849000,118080000,134664000,161510000,181581000,193998000,214120000,224570000,234110000,-22000000,-4700000,-56000000,-17700000,-83950000,74000000,-89500000,-39750000,-53500000,137849000,122780000,190664000,179210000,265531000,119998000,303620000,264320000,287610000,1,1,1,1,1,1,1,1,1
21,Borussia Dortmund,55236000,59780000,54054000,74463000,82887000,96554000,106820000,90330000,90030000,-5220000,-60400000,22550000,-10100000,141110000,23400000,-23000000,-42500000,63250000,60456000,120180000,31504000,84563000,-58223000,73154000,129820000,132830000,26780000,2,7,2,3,4,2,2,3,2
22,FC Schalke 04,58227000,49250000,44712000,59469000,41678000,69974000,48630000,62520000,-,-17950000,4200000,20100000,16500000,-42200000,-16050000,-8350000,3600000,-,76177000,45050000,24612000,42969000,83878000,86024000,56980000,58920000,-,3,6,5,10,2,14,12,18,-
