,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
0,Atlético Madrid,48677000,59221000,62950000,86604000,98548000,202616000,165500000,170390000,173660000,34600000,-29650000,18390000,-37000000,1250000,-58000000,69600000,-9200000,-56950000,14077000,88871000,44560000,123604000,97298000,260616000,95900000,179590000,230610000,1,3,3,3,2,2,3,1,3
1,FC Barcelona,178255000,162167000,174029000,229912000,243470000,267935000,335180000,332710000,202055000,-73100000,-84920000,-12700000,-90950000,-111870000,-1350000,-96100000,2500000,-6000000,251355000,247087000,186729000,320862000,355340000,269285000,431280000,330210000,208055000,2,1,1,2,1,1,2,3,2
2,Real Madrid,135708000,153375000,151263000,200412000,205395000,230914000,363070000,321170000,326870000,-62000000,-13300000,-69850000,7500000,88000000,-177500000,-207500000,102750000,47000000,197708000,166675000,221113000,192912000,117395000,408414000,570570000,218420000,279870000,3,2,2,1,3,3,1,2,1
3,Athletic Bilbao,18560000,24395000,24723000,38744000,39557000,56647000,48330000,72520000,61520000,-15400000,35000000,-8000000,0,33000000,0,0,-10500000,0,33960000,-10605000,32723000,38744000,6557000,56647000,48330000,83020000,61520000,4,7,5,7,16,8,11,10,8
4,Sevilla FC,25198000,26290000,34239000,70144000,68581000,77335000,65510000,93490000,93760000,53880000,29600000,13150000,11550000,6700000,11900000,-57000000,-50500000,-13000000,-28682000,-3310000,21089000,58594000,61881000,65435000,122510000,143990000,106760000,5,5,7,4,7,6,4,4,4
5,Villarreal CF,14593000,26963000,20967000,28064000,32586000,48332000,53610000,84160000,83300000,-9500000,3800000,-10950000,11300000,21200000,-34400000,23500000,-8250000,-46250000,24093000,23163000,31917000,16764000,11386000,82732000,30110000,92410000,129550000,6,6,4,5,5,14,5,7,7
6,Real Sociedad,16318000,11524000,18556000,24285000,41515000,38101000,39090000,51040000,50030000,25500000,33200000,-24100000,-7000000,31500000,-11750000,-11750000,35250000,-2500000,-9182000,-21676000,42656000,31285000,10015000,49851000,50840000,15790000,52530000,7,12,9,6,12,9,6,5,6
7,Valencia CF,31078000,30313000,50447000,70030000,60779000,75620000,75340000,75390000,55090000,24630000,2150000,-93800000,78900000,-37450000,-30000000,-18000000,74500000,-10150000,6448000,28163000,144247000,-8870000,98229000,105620000,93340000,890000,65240000,8,4,12,12,4,4,9,13,9
8,Celta Vigo,8714000,13293000,23197000,36797000,42091000,69685000,37530000,42380000,35810000,5800000,-2300000,2200000,11400000,-12600000,-3250000,16150000,-500000,-6800000,2914000,15593000,20997000,25397000,54691000,72935000,21380000,42880000,42610000,9,8,6,13,13,17,17,8,11
9,Levante UD,9688000,12733000,15108000,-,30614000,36238000,18750000,18650000,18300000,6120000,9590000,-6550000,-,4950000,-7800000,1700000,0,-1250000,3568000,3143000,21658000,-,25664000,44038000,17050000,18650000,19550000,10,14,20,-,15,15,12,14,19
10,Málaga CF,16554000,16476000,15165000,23403000,24972000,-,-,-,-,32420000,17990000,38150000,-12540000,23900000,-,-,-,-,-15866000,-1514000,-22985000,35943000,1072000,-,-,-,-,11,9,8,11,20,-,-,-,-
11,Rayo Vallecano,9617000,11891000,13696000,-,-,20785000,-,-,9885000,7000000,-150000,-400000,-,-,-350000,-,-,-2100000,2617000,12041000,14096000,-,-,21135000,-,-,11985000,12,11,18,-,-,20,-,-,12
12,Getafe CF,14564000,14828000,13914000,-,14062000,19175000,26460000,25790000,35890000,4500000,8000000,3830000,-,-11300000,-6750000,-10250000,-11700000,5000000,10064000,6828000,10084000,-,25362000,25925000,36710000,37490000,30890000,13,15,19,-,8,5,8,15,15
