,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
0,Paris Saint-Germain,84319000,85621000,108084000,124956000,202564000,200894000,241290000,242540000,431220000,-109400000,-47300000,-93200000,-74700000,-189600000,-106500000,10900000,-56000000,-74000000,193719000,132921000,201284000,199656000,392164000,307394000,230390000,298540000,505220000,1,1,1,2,1,1,1,2,1
1,AS Monaco,48803000,25991000,31362000,40332000,68350000,82141000,79280000,59910000,52700000,-155950000,49370000,84090000,-32050000,120800000,177750000,-116250000,-41370000,-10750000,204753000,-23379000,-52728000,72382000,-52450000,-95609000,195530000,101280000,63450000,2,3,3,1,2,17,9,3,3
2,Lille OSC,19408000,15389000,19602000,26514000,27084000,27959000,31300000,27280000,23880000,39050000,11960000,22350000,26300000,-37400000,61300000,53400000,58700000,52760000,-19642000,3429000,-2748000,214000,64484000,-33341000,-22100000,-31420000,-28880000,3,8,5,11,17,2,4,1,10
3,AS Saint-Étienne,18749000,13426000,16243000,17735000,20480000,23093000,26460000,19990000,19030000,26350000,-4000000,2900000,-4750000,-2800000,-2800000,32850000,38500000,-600000,-7601000,17426000,13343000,22485000,23280000,25893000,-6390000,-18510000,19630000,4,5,6,8,7,4,17,11,18
4,Olympique Lyon,26370000,26722000,34558000,38460000,37073000,48119000,62940000,55430000,58880000,20500000,-1900000,-14300000,-1300000,58050000,48050000,32320000,16850000,72950000,5870000,28622000,48858000,39760000,-20977000,69000,30620000,38580000,-14070000,5,2,2,4,3,3,7,4,8
5,Olympique Marseille,34154000,20686000,26752000,33988000,52282000,75306000,49350000,53130000,53780000,-38350000,-16650000,35300000,32900000,-59250000,-34150000,250000,11050000,-53220000,72504000,37336000,-8548000,1088000,111532000,109456000,49100000,42080000,107000000,6,4,13,5,4,5,2,5,2
6,Girondins Bordeaux,14307000,15997000,19810000,21552000,19603000,22856000,29270000,24560000,22680000,7500000,-3200000,11300000,-6400000,-6350000,31500000,35250000,17000000,8060000,6807000,19197000,8510000,27952000,25953000,-8644000,-5980000,7560000,14620000,7,6,11,6,6,14,12,12,20
7,FC Lorient,11844000,10339000,11105000,12987000,-,-,-,9330000,8180000,8800000,10750000,8570000,23550000,-,-,-,-20000000,-500000,3044000,-411000,2535000,-10563000,-,-,-,29330000,8680000,8,16,15,18,-,-,-,16,16
8,Toulouse FC,14410000,10881000,9013000,15863000,18743000,18426000,19400000,-,-,7150000,10700000,7600000,-3000000,9500000,16050000,3150000,-,-,7260000,181000,1413000,18863000,9243000,2376000,16250000,-,-,9,17,17,13,18,16,20,-,-
9,SC Bastia,13706000,10581000,8796000,12182000,-,-,-,-,-,400000,1900000,1700000,6750000,-,-,-,-,-,13306000,8681000,7096000,5432000,-,-,-,-,-,10,12,10,20,-,-,-,-,-
10,Stade Reims,11128000,9971000,12740000,-,-,13186000,12240000,9540000,10200000,-3130000,5500000,0,-,-,-4500000,5300000,6100000,-3750000,14258000,4471000,12740000,-,-,17686000,6940000,3440000,13950000,11,15,18,-,-,8,6,14,12
11,Stade Rennes,18071000,14765000,11372000,14538000,14155000,26679000,35330000,28470000,21230000,1550000,5360000,4960000,33030000,-38100000,3000000,0,-19120000,-33850000,16521000,9405000,6412000,-18492000,52255000,23679000,35330000,47590000,55080000,12,9,8,9,5,10,3,6,4
12,FC Nantes,11968000,8867000,9444000,10568000,14781000,22809000,18960000,18800000,17790000,-2850000,-420000,10550000,-2350000,-1300000,6900000,21750000,-3000000,8300000,14818000,9287000,-1106000,12918000,16081000,15909000,-2790000,21800000,9490000,13,14,14,7,9,12,13,18,9
13,Évian Thonon Gaillard,10927000,11426000,-,-,-,-,-,-,-,5900000,750000,-,-,-,-,-,-,-,5027000,10676000,-,-,-,-,-,-,-,14,18,-,-,-,-,-,-,-
