,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
0,Bayern München,115849000,118080000,134664000,161510000,181581000,193998000,214120000,224570000,234110000,-22000000,-4700000,-56000000,-17700000,-83950000,74000000,-89500000,-39750000,-53500000,137849000,122780000,190664000,179210000,265531000,119998000,303620000,264320000,287610000,1,1,1,1,1,1,1,1,1
1,Borussia Dortmund,55236000,59780000,54054000,74463000,82887000,96554000,106820000,90330000,90030000,-5220000,-60400000,22550000,-10100000,141110000,23400000,-23000000,-42500000,63250000,60456000,120180000,31504000,84563000,-58223000,73154000,129820000,132830000,26780000,2,7,2,3,4,2,2,3,2
2,FC Schalke 04,58227000,49250000,44712000,59469000,41678000,69974000,48630000,62520000,-,-17950000,4200000,20100000,16500000,-42200000,-16050000,-8350000,3600000,-,76177000,45050000,24612000,42969000,83878000,86024000,56980000,58920000,-,3,6,5,10,2,14,12,18,-
3,Bayer Leverkusen,39065000,32093000,31732000,50007000,56837000,62107000,47820000,56200000,46570000,13240000,-18710000,5250000,-28400000,33900000,13500000,-62500000,49300000,-12550000,25825000,50803000,26482000,78407000,22937000,48607000,110320000,6900000,59120000,4,4,3,12,5,4,5,6,3
4,VfL Wolfsburg,53948000,57256000,56527000,77913000,58206000,65598000,66870000,57870000,49020000,-34550000,-38800000,43200000,13400000,-37750000,-35200000,-23500000,-10900000,-59830000,88498000,96056000,13327000,64513000,95956000,100798000,90370000,68770000,108850000,5,2,8,16,16,6,7,4,12
5,Bor. Mönchengladbach,25695000,26673000,30026000,36732000,44677000,45358000,54050000,49480000,43990000,-4650000,5150000,-22300000,6850000,-6170000,400000,-1400000,-13500000,-10300000,30345000,21523000,52326000,29882000,50847000,44958000,55450000,62980000,54290000,6,3,4,9,9,5,4,8,10
6,1. FSV Mainz 05,19976000,17896000,14725000,21750000,17819000,21445000,26250000,23180000,17030000,-2650000,-2520000,20350000,-3510000,8300000,25600000,-3050000,11700000,11150000,22626000,20416000,-5625000,25260000,9519000,-4155000,29300000,11480000,5880000,7,11,6,15,14,12,13,12,8
7,FC Augsburg,13868000,12361000,13645000,17765000,16563000,23896000,27880000,22920000,24000000,-3950000,-5550000,4200000,-7150000,50000,-3800000,-11700000,-1700000,-11260000,17818000,17911000,9445000,24915000,16513000,27696000,39580000,24620000,35260000,8,5,12,13,12,15,15,13,14
8,1899 Hoffenheim,24677000,26237000,27147000,29765000,38805000,37894000,47650000,42870000,37750000,-5900000,-4780000,33750000,7560000,31050000,-26080000,67350000,10800000,850000,30577000,31017000,-6603000,22205000,7755000,63974000,-19700000,32070000,36900000,9,8,15,4,3,9,6,11,9
