,,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Payrolls,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Balances,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,Expenses,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions,League positions
,Club,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
0,Juventus,81388000,72376000,87578000,113447000,141295000,237307000,255540000,216130000,162720000,12450000,-20040000,-70570000,-22240000,-9050000,-139500000,-22050000,-21700000,-69200000,68938000,92416000,158148000,135687000,150345000,376807000,277590000,237830000,231920000,1,1,1,1,1,1,1,4,4
1,AS Roma,62281000,74908000,69209000,83610000,73488000,105065000,115880000,113170000,83050000,43460000,-56310000,40420000,-30000000,56300000,19600000,-8000000,-14100000,-96530000,18821000,131218000,28789000,113610000,17188000,85465000,123880000,127270000,179580000,2,2,3,2,3,6,5,7,6
2,SSC Napoli,51296000,49307000,52127000,70211000,77741000,94947000,100980000,107420000,94770000,-33250000,-14350000,-25390000,19520000,-53750000,20500000,-137300000,36190000,-8200000,84546000,63657000,77517000,50691000,131491000,74447000,238280000,71230000,102970000,3,5,2,3,2,2,7,5,3
3,ACF Fiorentina,52532000,45287000,28991000,32036000,31612000,42911000,47770000,51890000,55590000,-13150000,28900000,2700000,15700000,12400000,-23350000,-36160000,6000000,44950000,65682000,16387000,26291000,16336000,19212000,66261000,83930000,45890000,10640000,4,4,5,8,8,16,10,13,7
4,Inter,64729000,49323000,56792000,72686000,78007000,118528000,116620000,138880000,140120000,-48940000,7800000,6070000,-139350000,-30400000,7000000,-108910000,-12900000,161050000,113669000,41523000,50722000,212036000,108407000,111528000,225530000,151780000,-20930000,5,8,4,7,4,4,2,1,2
5,Parma FC,23361000,17943000,-,-,-,24904000,28740000,41290000,-,12190000,6230000,-,-,-,-20100000,-8830000,-90990000,-,11171000,11713000,-,-,-,45004000,37570000,132280000,-,6,20,-,-,-,14,11,20,-
6,Torino FC,20934000,20025000,17151000,37562000,27672000,44676000,46280000,49970000,45220000,12190000,4660000,-8300000,-2490000,52700000,-32300000,-9000000,-19000000,2600000,8744000,15365000,25451000,40052000,-25028000,76976000,55280000,68970000,42620000,7,9,12,9,9,7,16,17,10
7,AC Milan,88132000,77566000,73608000,60973000,105858000,142693000,105190000,84340000,81960000,-17000000,7900000,-77420000,-7450000,-155600000,-108150000,-42800000,31520000,-73200000,105132000,69666000,151028000,68423000,261458000,250843000,147990000,52820000,155160000,8,10,7,6,6,5,6,2,1
8,Lazio Roma,44102000,33349000,36385000,39546000,58377000,65095000,64110000,87170000,65430000,1650000,-12600000,-32980000,-4700000,41650000,-8200000,-5710000,-21500000,-4960000,42452000,45949000,69365000,44246000,16727000,73295000,69820000,108670000,70390000,9,3,8,5,5,8,4,6,5
9,Hellas Verona,15157000,13253000,16809000,-,17845000,-,27350000,29100000,20060000,1400000,7990000,-4450000,-,5100000,-,21060000,-8950000,-12000000,13757000,5263000,21259000,-,12745000,-,6290000,38050000,32060000,10,13,20,-,19,-,9,10,9
10,Atalanta,18664000,20992000,18321000,22446000,22762000,38886000,36820000,44170000,42080000,-4650000,7080000,15300000,29660000,10720000,-33500000,45800000,10700000,-27100000,23314000,13912000,3021000,-7214000,12042000,72386000,-8980000,33470000,69180000,11,17,13,4,7,3,3,3,8
11,Sampdoria,20541000,22331000,26101000,27389000,35044000,39079000,37170000,30570000,31280000,12450000,-1630000,-15040000,36710000,9490000,5150000,4880000,-4300000,-7700000,8091000,23961000,41141000,-9321000,25554000,33929000,32290000,34870000,38980000,12,7,15,10,10,9,15,9,15
12,Udinese Calcio,16813000,16588000,18013000,17580000,17296000,35255000,20590000,29760000,19730000,23890000,-3800000,54950000,11220000,-4000000,-36000000,42390000,22450000,59100000,-7077000,20388000,-36937000,6360000,21296000,71255000,-21800000,7310000,-39370000,13,16,17,13,14,12,13,14,12
13,Genoa CFC,33520000,28304000,27928000,31141000,31156000,38170000,47810000,40980000,29860000,-1440000,18650000,30250000,24600000,28250000,19550000,-1050000,-7450000,-16200000,34960000,9654000,-2322000,6541000,2906000,18620000,48860000,48430000,46060000,14,6,11,16,12,17,17,11,19
14,Cagliari Calcio,12710000,11311000,-,18788000,23309000,32073000,42850000,59750000,26750000,5200000,1730000,-,2100000,-3020000,-27100000,-25400000,3500000,-6400000,7510000,9581000,-,16688000,26329000,59173000,68250000,56250000,33150000,15,18,-,11,16,15,14,16,18
15,Chievo Verona,18244000,14485000,11557000,13579000,13301000,24171000,-,-,-,1300000,5000000,6250000,-4850000,12410000,8400000,-,-,-,16944000,9485000,5307000,18429000,891000,15771000,-,-,-,16,14,9,14,13,20,-,-,-
16,Sassuolo Calcio,22923000,21288000,19206000,23866000,30756000,36347000,31580000,31450000,25540000,-32200000,-5900000,-5150000,8100000,-11150000,6150000,-6440000,27500000,-19600000,55123000,27188000,24356000,15766000,41906000,30197000,38020000,3950000,45140000,17,12,6,12,11,11,8,8,11
17,Calcio Catania,19226000,-,-,-,-,-,-,-,-,2720000,-,-,-,-,-,-,-,-,16506000,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-
18,Bologna FC,17984000,-,23863000,24064000,23603000,40557000,36880000,35810000,28590000,11360000,-,-25830000,-14720000,-10300000,12900000,-42250000,-3300000,-4400000,6624000,-,49693000,38784000,33903000,27657000,79130000,39110000,32990000,19,-,14,15,15,10,12,12,13
19,AS Livorno,11205000,-,-,-,-,-,-,-,-,-3020000,-,-,-,-,-,-,-,-,14225000,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-
20,US Palermo,-,15638000,17198000,16064000,-,-,-,-,-,-,-2700000,39450000,20950000,-,-,-,-,-,-,18338000,-22252000,-4886000,-,-,-,-,-,-,11,16,19,-,-,-,-,-
21,Empoli FC,-,7310000,8989000,14819000,-,19656000,-,-,32300000,-,-3350000,5900000,8900000,-,14000000,-,-,16100000,-,10660000,3089000,5919000,-,5656000,-,-,16200000,-,15,10,18,-,18,-,-,14
22,AC Cesena,-,8121000,-,-,-,-,-,-,-,-,-450000,-,-,-,-,-,-,-,-,8571000,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-
23,Carpi FC,-,-,12060000,-,-,-,-,-,-,-,-,-75000,-,-,-,-,-,-,-,-,12135000,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-
24,Frosinone Calcio,-,-,6048000,-,-,22501000,-,-,-,-,-,-400000,-,-,-6400000,-,-,-,-,-,6448000,-,-,28901000,-,-,-,-,-,19,-,-,19,-,-,-
25,FC Crotone,-,-,-,8741000,10306000,-,-,18990000,-,-,-,-,1850000,-2850000,-,-,-6200000,-,-,-,-,6891000,13156000,-,-,25190000,-,-,-,-,17,18,-,-,19,-
26,Pescara Calcio,-,-,-,14873000,-,-,-,-,-,-,-,-,8210000,-,-,-,-,-,-,-,-,6663000,-,-,-,-,-,-,-,-,20,-,-,-,-,-
27,SPAL 2013 Ferrara,-,-,-,-,19733000,24471000,30940000,-,-,-,-,-,-,-7500000,-21650000,9050000,-,-,-,-,-,-,27233000,46121000,21890000,-,-,-,-,-,-,17,13,20,-,-
28,Benevento Calcio,-,-,-,-,17724000,-,-,32410000,-,-,-,-,-,-18750000,-,-,-10800000,-,-,-,-,-,36474000,-,-,43210000,-,-,-,-,-,20,-,-,18,-
29,US Lecce,-,-,-,-,-,-,32320000,-,-,-,-,-,-,-,-,-7450000,-,-,-,-,-,-,-,-,39770000,-,-,-,-,-,-,-,-,18,-,-
30,Brescia Calcio,-,-,-,-,-,-,16190000,-,-,-,-,-,-,-,-,-18550000,-,-,-,-,-,-,-,-,34740000,-,-,-,-,-,-,-,-,19,-,-
31,Spezia Calcio,-,-,-,-,-,-,-,20120000,16560000,-,-,-,-,-,-,-,-3760000,-17800000,-,-,-,-,-,-,-,23880000,34360000,-,-,-,-,-,-,-,15,16
32,US Salernitana 1919,-,-,-,-,-,-,-,-,20010000,-,-,-,-,-,-,-,-,-13850000,-,-,-,-,-,-,-,-,33860000,-,-,-,-,-,-,-,-,17
33,Venezia FC,-,-,-,-,-,-,-,-,19840000,-,-,-,-,-,-,-,-,-21890000,-,-,-,-,-,-,-,-,41730000,-,-,-,-,-,-,-,-,20
